Product name,Brand name,Package spec,Organic,Package code,Department,Category,Package code type,
Medium Hatch Valley Honey Chipotle Green Chile,505 Southwestern,16 oz (454 g),No,602050103511,Grocery and Beverages,"Condiments, Oils, Dressings, and Spreads",UPC-A,
Medium Hatch Valley Honey Chipotle Green Chile Salsa,505 Southwestern,16 oz (454 g) ,No,602050110304,Grocery and Beverages,"Condiments, Oils, Dressings, and Spreads",UPC-A,
Medium Hatch Valley Honey Chipotle Green Chile Salsa,505 Southwestern,40 oz (1.135 kg),No,602050110373,Grocery and Beverages,"Condiments, Oils, Dressings, and Spreads",UPC-A,
Mint Birch Tree Sap Beverage,52North,12 fl oz (355 ml),No,628451421023,Grocery and Beverages,Beverages,UPC-A,
Mint Birch Tree Sap Beverage,52North,16 fl oz (473 ml),No,628451421054,Grocery and Beverages,Beverages,UPC-A,
Olive Ciabatta,Ace,225g,No,628553037368,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Olive Batard,Ace,20.4 lbs (9.2 kg),No,628553028038,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Country Roll,Ace,,No,628553011054,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Country Boule,Ace,,No,628553011290,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Sour Round Roll,Ace,,No,628553013058,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Sour Oval,Ace,,No,628553013300,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Sourdough Grand Pullman,Ace,,No,628553013472,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Sourdough Grand Thick Sliced,Ace,,No,628553013478,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Sour Pull Large Sliced,Ace,,No,628553013515,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Sourdough Small Sliced,Ace,,No,628553013560,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Sourdough Bistro Sliced,Ace,,No,628553013850,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Sourdough Bistro Sliced,Ace,,No,628553013861,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Multigrain Oval,Ace,,No,628553019357,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Multigrain Oval,Ace,,No,628553019962,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Raisin Walnut Small Roll,Ace,,No,628553020018,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Raisin Walnut Roll,Ace,,No,628553020056,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Raisin Walnut Pull Sliced,Ace,,No,628553020292,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Small Miche,Ace,,No,628553041808,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Large Miche,Ace,,No,628553041815,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Red Pepper and Sun-Dried Tomato Ciabatta,Ace,14.9 LBs (6.8kg),No,628553037375,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Sour Batard,Ace,,No,628553013256,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Korb Rye Loaf,Ace,,No,628553016077,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Sage Bread,Ace,,No,628553018194,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Raisin Walnut Oval,Ace,550 g,No,628553020442,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Raisin Walnut Oval,Ace,550 g,No,628553020452,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Rosemary Olive Oil Boule,Ace,,No,628553023310,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Ace Stenciled Miche,Ace,2.9 kg,No,628553029769,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Tomato Focaccia Lunga,Ace,8.11 lbs (3.68 kg),No,628553044021,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Pugliese,Ace,12 lb (5.4 kg),No,628553041853,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Focaccia Triangle,Ace,7.9 lb (3.6 kg),No,628553071119,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Sourdough Baguette,Ace,5.7 kg,No,628553013379,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Select Olive Focaccia Lunga,Ace,7.76 LBs (3.52kg),No,628553044038,Grocery and Beverages,Breads and Baked Goods,UPC-A,
